"f_9","Points:0","Points:1","Points:2"
300.05,0.5625,0.1875,0
300.05,0.59375,0.1875,0
300.05,0.625,0.1875,0
300.05,0.65625,0.1875,0
300.05,0.6875,0.1875,0
300.05,0.71875,0.1875,0
300.04,0.75,0.1875,0
300.04,0.78125,0.1875,0
300.04,0.8125,0.1875,0
300.04,0.84375,0.1875,0
300.04,0.875,0.1875,0
300.04,0.90625,0.1875,0
300.04,0.9375,0.1875,0
300.04,0.96875,0.1875,0
300.04,1,0.1875,0
300.08,0,0.21875,0
300.08,0.03125,0.21875,0
300.08,0.0625,0.21875,0
300.08,0.09375,0.21875,0
300.08,0.125,0.21875,0
300.08,0.15625,0.21875,0
300.08,0.1875,0.21875,0
300.07,0.21875,0.21875,0
300.07,0.25,0.21875,0
300.07,0.28125,0.21875,0
300.07,0.3125,0.21875,0
300.07,0.34375,0.21875,0
300.07,0.375,0.21875,0
300.06,0.40625,0.21875,0
300.06,0.4375,0.21875,0
300.06,0.46875,0.21875,0
300.06,0.5,0.21875,0
300.06,0.53125,0.21875,0
300.06,0.5625,0.21875,0
300.06,0.59375,0.21875,0
300.05,0.625,0.21875,0
300.05,0.65625,0.21875,0
300.05,0.6875,0.21875,0
300.05,0.71875,0.21875,0
300.05,0.75,0.21875,0
300.05,0.78125,0.21875,0
300.05,0.8125,0.21875,0
300.05,0.84375,0.21875,0
300.05,0.875,0.21875,0
300.05,0.90625,0.21875,0
300.05,0.9375,0.21875,0
300.05,0.96875,0.21875,0
300.05,1,0.21875,0
300.09,0,0.25,0
300.09,0.03125,0.25,0
300.09,0.0625,0.25,0
300.09,0.09375,0.25,0
300.09,0.125,0.25,0
300.09,0.15625,0.25,0
300.08,0.1875,0.25,0
300.08,0.21875,0.25,0
300.08,0.25,0.25,0
300.08,0.28125,0.25,0
300.08,0.3125,0.25,0
300.08,0.34375,0.25,0
300.07,0.375,0.25,0
300.07,0.40625,0.25,0
300.07,0.4375,0.25,0
300.07,0.46875,0.25,0
300.07,0.5,0.25,0
300.07,0.53125,0.25,0
300.06,0.5625,0.25,0
300.06,0.59375,0.25,0
300.06,0.625,0.25,0
300.06,0.65625,0.25,0
300.06,0.6875,0.25,0
300.06,0.71875,0.25,0
300.06,0.75,0.25,0
300.06,0.78125,0.25,0
300.06,0.8125,0.25,0
300.06,0.84375,0.25,0
300.06,0.875,0.25,0
300.06,0.90625,0.25,0
300.06,0.9375,0.25,0
300.05,0.96875,0.25,0
300.05,1,0.25,0
300.1,0,0.28125,0
300.1,0.03125,0.28125,0
300.1,0.0625,0.28125,0
300.1,0.09375,0.28125,0
300.1,0.125,0.28125,0
300.09,0.15625,0.28125,0
300.09,0.1875,0.28125,0
300.09,0.21875,0.28125,0
300.09,0.25,0.28125,0
300.09,0.28125,0.28125,0
300.08,0.3125,0.28125,0
300.08,0.34375,0.28125,0
300.08,0.375,0.28125,0
300.08,0.40625,0.28125,0
300.08,0.4375,0.28125,0
300.08,0.46875,0.28125,0
300.07,0.5,0.28125,0
300.07,0.53125,0.28125,0
300.07,0.5625,0.28125,0
300.07,0.59375,0.28125,0
300.07,0.625,0.28125,0
300.07,0.65625,0.28125,0
300.07,0.6875,0.28125,0
300.06,0.71875,0.28125,0
300.06,0.75,0.28125,0
300.06,0.78125,0.28125,0
300.06,0.8125,0.28125,0
300.06,0.84375,0.28125,0
300.06,0.875,0.28125,0
300.06,0.90625,0.28125,0
300.06,0.9375,0.28125,0
300.06,0.96875,0.28125,0
300.06,1,0.28125,0
300.11,0,0.3125,0
300.11,0.03125,0.3125,0
300.11,0.0625,0.3125,0
300.11,0.09375,0.3125,0
300.1,0.125,0.3125,0
300.1,0.15625,0.3125,0
300.1,0.1875,0.3125,0
300.1,0.21875,0.3125,0
300.1,0.25,0.3125,0
300.09,0.28125,0.3125,0
300.09,0.3125,0.3125,0
300.09,0.34375,0.3125,0
300.09,0.375,0.3125,0
300.09,0.40625,0.3125,0
300.08,0.4375,0.3125,0
300.08,0.46875,0.3125,0
300.08,0.5,0.3125,0
300.08,0.53125,0.3125,0
300.08,0.5625,0.3125,0
300.08,0.59375,0.3125,0
300.07,0.625,0.3125,0
300.07,0.65625,0.3125,0
300.07,0.6875,0.3125,0
300.07,0.71875,0.3125,0
300.07,0.75,0.3125,0
300.07,0.78125,0.3125,0
300.07,0.8125,0.3125,0
300.07,0.84375,0.3125,0
300.07,0.875,0.3125,0
300.07,0.90625,0.3125,0
300.07,0.9375,0.3125,0
300.07,0.96875,0.3125,0
300.07,1,0.3125,0
300.12,0,0.34375,0
300.12,0.03125,0.34375,0
300.12,0.0625,0.34375,0
300.11,0.09375,0.34375,0
